commute,female,happy_work,income,yeduc,female_commute,female_yeduc,female_income
15,0,4,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,4,500,12,0,0,0
15,0,2,500,12,0,0,0
15,0,4,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,0,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,4,500,12,0,0,0
15,0,4,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,2,500,12,0,0,0
15,0,0,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,0,500,12,0,0,0
15,0,2,500,12,0,0,0
15,0,0,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,1,500,12,0,0,0
15,0,3,500,12,0,0,0
15,0,4,500,12,0,0,0
15,0,2,500,12,0,0,0
15,0,3,700,12,0,0,0
15,0,0,700,12,0,0,0
15,0,4,700,12,0,0,0
15,0,2,700,12,0,0,0
15,0,3,700,12,0,0,0
15,0,3,700,12,0,0,0
15,0,4,700,12,0,0,0
15,0,0,700,12,0,0,0
15,0,2,700,12,0,0,0
15,0,3,700,12,0,0,0
15,0,4,700,12,0,0,0
15,0,3,700,12,0,0,0
15,0,2,700,12,0,0,0
15,0,0,700,12,0,0,0
15,0,2,700,12,0,0,0
15,0,1,700,12,0,0,0
15,0,2,700,12,0,0,0
15,0,2,700,12,0,0,0
15,1,4,0,13,15,13,0
15,1,3,0,13,15,13,0
15,1,3,0,13,15,13,0
15,1,2,0,13,15,13,0
15,1,2,0,13,15,13,0
15,1,4,50,13,15,13,50
15,1,2,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,1,50,13,15,13,50
15,1,4,50,13,15,13,50
15,1,4,50,13,15,13,50
15,1,2,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,2,50,13,15,13,50
15,1,2,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,4,50,13,15,13,50
15,1,1,50,13,15,13,50
15,1,2,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,3,50,13,15,13,50
15,1,3,50,13,15,13,50
15,0,2,100,13,0,0,0
15,0,2,100,13,0,0,0
15,0,2,100,13,0,0,0
15,0,2,100,13,0,0,0
15,0,2,100,13,0,0,0
15,1,2,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,0,100,13,15,13,100
15,1,1,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,4,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,0,100,13,15,13,100
15,1,0,100,13,15,13,100
15,1,2,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,1,100,13,15,13,100
15,1,4,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,1,100,13,15,13,100
15,1,2,100,13,15,13,100
15,1,2,100,13,15,13,100
15,1,1,100,13,15,13,100
15,1,4,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,2,100,13,15,13,100
15,1,1,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,3,100,13,15,13,100
15,1,2,100,13,15,13,100
15,1,2,100,13,15,13,100
15,0,2,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,2,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,2,200,13,0,0,0
15,0,0,200,13,0,0,0
15,0,2,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,2,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,2,200,13,0,0,0
15,0,3,200,13,0,0,0
15,0,0,200,13,0,0,0
15,1,3,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,1,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,4,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,1,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,1,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,1,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,2,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,3,200,13,15,13,200
15,1,4,200,13,15,13,200
15,1,3,200,13,15,13,200
15,0,0,300,13,0,0,0
15,0,1,300,13,0,0,0
15,0,3,300,13,0,0,0
15,0,1,300,13,0,0,0
15,0,0,300,13,0,0,0
15,0,2,300,13,0,0,0
15,0,2,300,13,0,0,0
